id,name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
35569,London Eye (Stop Y),poi,London,51.502754,-0.117198,6,381,"[31, 29, 27, 37, 34, 33, 41, 28, 29, 36, 31, 25]",19.6875
35773,Tate Modern,attraction,London,51.507722,-0.099195,7,373,"[29, 23, 28, 42, 36, 28, 27, 45, 25, 44, 28, 18]",68.90972222222221
35750,The British Museum,attraction,London,51.518856,-0.126337,6,313,"[21, 26, 30, 24, 18, 24, 24, 32, 22, 49, 22, 21]",61.576388888888886
37159,Victoria and Albert Museum,attraction,London,51.496023,-0.171967,6,263,"[26, 25, 12, 20, 24, 21, 23, 27, 21, 30, 18, 16]",23.076388888888886
36196,London City Airport (LCY),poi,London,51.505965,0.047979,7,248,"[14, 22, 26, 21, 25, 23, 26, 19, 26, 22, 18, 6]",31.888888888888886
36170,London Euston Railway Station (EUS),poi,London,51.528437050375,-0.13402462005615,6,243,"[23, 22, 32, 24, 17, 12, 14, 16, 19, 29, 21, 14]",34.6875
36579,Princi,restaurant,London,51.513872,-0.134487,7,242,"[11, 15, 20, 22, 24, 18, 23, 20, 23, 33, 18, 15]",28.805555555555554
62445,MEATliquor,restaurant,London,51.515452,-0.148563,6,220,"[15, 13, 22, 11, 20, 18, 21, 20, 19, 15, 20, 26]",16.055555555555554
219902,Arens Bar & Restaurant,restaurant,London,51.589324336532,-0.40784469960909,6,213,"[2, 0, 0, 17, 36, 18, 43, 17, 53, 8, 0, 19]",292.0208333333333
42676,Eurostar Train Station - St Pancras,poi,London,51.529877,-0.125315,6,210,"[15, 19, 13, 24, 24, 13, 17, 16, 26, 13, 13, 17]",20.75
35539,Science Museum,attraction,London,51.497809,-0.174524,6,186,"[17, 18, 20, 15, 18, 6, 11, 28, 15, 19, 9, 10]",32.25
35518,sketch,restaurant,London,51.512674,-0.141501,7,185,"[11, 16, 12, 21, 8, 20, 20, 13, 23, 18, 9, 14]",22.743055555555557
36464,Tayyabs,restaurant,London,51.517264,-0.063484,6,171,"[5, 7, 12, 18, 15, 10, 15, 24, 20, 21, 11, 13]",30.1875
35352,The Wolseley,restaurant,London,51.507509,-0.14095,7,167,"[19, 17, 14, 11, 15, 7, 14, 19, 14, 16, 12, 9]",12.576388888888891
36791,Pizza East,restaurant,London,51.523704,-0.077172,6,166,"[11, 11, 12, 17, 8, 23, 14, 12, 22, 22, 8, 6]",31.638888888888886
46416,Dishoom,restaurant,London,51.512357,-0.126836,7,165,"[6, 10, 8, 15, 11, 9, 19, 25, 16, 22, 13, 11]",31.1875
36150,The Breakfast Club,restaurant,London,51.527119,-0.081139,7,164,"[12, 12, 18, 4, 14, 13, 11, 11, 17, 26, 12, 14]",24.888888888888886
35536,National Portrait Gallery,attraction,London,51.509424,-0.128122,6,162,"[12, 7, 11, 10, 10, 17, 13, 13, 12, 17, 22, 18]",16.25
36214,Bodean's BBQ,restaurant,London,51.514493,-0.136808,6,160,"[9, 9, 12, 24, 15, 12, 8, 11, 21, 17, 16, 6]",27.055555555555554
35328,Yauatcha,restaurant,London,51.513709,-0.135192,6,153,"[14, 9, 11, 13, 11, 11, 12, 14, 14, 20, 16, 8]",9.520833333333334
45141,Jamie's Italian,restaurant,London,51.512596,-0.126958,7,143,"[7, 9, 10, 13, 20, 9, 18, 20, 13, 14, 5, 5]",26.243055555555557
36081,Monmouth Coffee Company,restaurant,London,51.514346,-0.126785,7,139,"[5, 5, 11, 12, 15, 9, 15, 15, 12, 21, 9, 10]",18.90972222222222
36303,wasabi,restaurant,London,51.514642,-0.135897,7,137,"[9, 6, 12, 16, 14, 13, 11, 15, 12, 17, 3, 9]",15.576388888888888
39094,Gordon Ramsay Plane Food,restaurant,London,51.471296,-0.488093,7,132,"[9, 10, 13, 15, 7, 10, 9, 13, 13, 18, 9, 6]",11.0
35080,The Breakfast Club,restaurant,London,51.514743,-0.135428,6,132,"[12, 7, 15, 12, 7, 10, 5, 17, 10, 13, 12, 12]",10.833333333333334
35595,St Paul's Cathedral,attraction,London,51.513683597251,-0.099434852600098,6,132,"[9, 9, 11, 10, 13, 5, 8, 25, 6, 16, 9, 11]",25.666666666666668
37412,Albion,restaurant,London,51.524394,-0.076356,6,131,"[10, 9, 12, 14, 16, 16, 13, 7, 14, 12, 4, 4]",16.07638888888889
35982,Royal Albert Hall,attraction,London,51.500982454474,-0.17741203308105,6,128,"[10, 9, 8, 13, 9, 8, 12, 16, 12, 13, 14, 4]",9.888888888888888
36862,Monmouth Coffee Company,restaurant,London,51.505537,-0.091444,7,126,"[7, 7, 11, 8, 12, 7, 10, 21, 15, 14, 10, 4]",19.25
47492,Sanctuary Spa Covent Garden,attraction,London,51.512427,-0.124368,6,126,"[8, 4, 5, 16, 7, 8, 15, 20, 12, 11, 7, 13]",21.583333333333332
36341,The Book Club,restaurant,London,51.524611,-0.081434,7,124,"[6, 16, 12, 9, 15, 12, 6, 14, 10, 18, 3, 3]",23.222222222222218
36650,Vapiano,restaurant,London,51.516362,-0.141235,6,124,"[6, 13, 13, 8, 10, 6, 7, 8, 17, 11, 10, 15]",11.722222222222223
63800,Burger & Lobster,restaurant,London,51.506993,-0.145526,6,124,"[5, 8, 9, 12, 11, 11, 10, 18, 14, 15, 3, 8]",16.055555555555557
50780,Hawksmoor,restaurant,London,51.513475065693,-0.1257483370938,7,118,"[12, 5, 13, 9, 7, 11, 7, 2, 11, 18, 15, 8]",17.97222222222222
39910,Caravan,restaurant,London,51.525449,-0.110154,7,117,"[7, 7, 16, 15, 11, 14, 14, 5, 11, 10, 3, 4]",18.520833333333332
36198,Gordon's Wine Bar,attraction,London,51.507914726531,-0.12290492551916,6,117,"[4, 7, 13, 10, 6, 10, 9, 17, 7, 14, 15, 5]",16.1875
57348,Shoreditch Grind,restaurant,London,51.526,-0.088196,7,116,"[7, 10, 4, 13, 8, 8, 8, 20, 10, 13, 13, 2]",20.555555555555554
36177,Flat White,restaurant,London,51.51363,-0.134825,7,115,"[5, 13, 8, 12, 9, 8, 8, 16, 12, 18, 4, 2]",21.07638888888889
51993,Hakkasan,restaurant,London,51.510296,-0.144699,6,112,"[10, 5, 6, 5, 3, 6, 8, 14, 12, 15, 16, 12]",17.88888888888889
219897,WAX London,restaurant,London,51.60147,-0.409294,6,111,"[25, 0, 16, 15, 16, 2, 1, 9, 5, 5, 11, 6]",52.354166666666664
36553,Kaffeine,restaurant,London,51.518426,-0.140408,8,110,"[7, 10, 8, 5, 9, 4, 6, 15, 9, 13, 14, 10]",11.138888888888891
61314,Novikov Restaurant & Bar,restaurant,London,51.507809126688,-0.14282831234901,6,110,"[2, 6, 5, 16, 8, 7, 9, 19, 8, 17, 7, 6]",25.472222222222225
73769,Patty and Bun,restaurant,London,51.515433,-0.150656,7,107,"[8, 7, 10, 14, 6, 8, 12, 14, 11, 10, 4, 3]",11.743055555555555
67767,Sushisamba,restaurant,London,51.516116864786,-0.080981834114665,7,106,"[2, 4, 3, 11, 11, 5, 11, 19, 9, 21, 6, 4]",34.63888888888889
42177,The Black Horse,attraction,London,51.584883242493,-0.40597915649414,6,106,"[25, 13, 9, 0, 0, 5, 10, 4, 0, 0, 0, 40]",139.9722222222222
48377,Lupita,restaurant,London,51.508402,-0.124232,7,105,"[8, 8, 9, 9, 8, 2, 9, 11, 10, 18, 9, 4]",13.520833333333334
38273,Roka,restaurant,London,51.518965,-0.135433,7,104,"[5, 13, 9, 7, 10, 17, 5, 6, 8, 9, 8, 7]",10.888888888888888
36717,The Diner,restaurant,London,51.526281,-0.080242,6,101,"[6, 5, 16, 11, 7, 6, 14, 9, 5, 6, 8, 8]",11.576388888888891
77316,Five Guys,restaurant,London,51.511877,-0.126808,6,101,"[0, 0, 0, 0, 0, 1, 21, 28, 16, 28, 6, 1]",121.0763888888889
36164,Portobello Road Metro,restaurant,London,51.517119,-0.205799,6,101,"[3, 3, 11, 6, 7, 8, 12, 19, 7, 13, 7, 5]",19.576388888888893
35423,Wahaca,restaurant,London,51.510274,-0.124571,7,100,"[3, 6, 5, 8, 6, 7, 13, 13, 10, 11, 10, 8]",9.055555555555555
35756,National Gallery Shop,attraction,London,51.508373,-0.129746,7,100,"[11, 8, 8, 7, 9, 4, 5, 17, 4, 13, 6, 8]",13.388888888888891
65959,Ozone Coffee Roasters,restaurant,London,51.524696,-0.086857,7,99,"[1, 3, 11, 14, 12, 13, 8, 8, 7, 12, 5, 5]",16.1875
216960,The Crown Northolt,attraction,London,51.544677795375,-0.37063527682045,7,99,"[1, 0, 0, 0, 9, 22, 18, 17, 17, 0, 1, 14]",70.6875
35083,ZSL London Zoo,attraction,London,51.535736,-0.155679,6,99,"[8, 6, 6, 7, 9, 12, 16, 15, 6, 7, 4, 3]",15.354166666666666
38067,The Hummingbird Bakery,restaurant,London,51.514418,-0.134878,7,98,"[7, 6, 8, 6, 3, 10, 14, 12, 12, 5, 8, 7]",9.638888888888888
57074,Red Dog Saloon,restaurant,London,51.527445,-0.08074,6,98,"[7, 3, 7, 9, 6, 14, 8, 12, 10, 9, 10, 3]",9.805555555555557
35685,Leicester Square,attraction,London,51.510378435607,-0.13011932373047,6,98,"[6, 5, 4, 14, 9, 12, 6, 6, 8, 15, 5, 8]",12.305555555555555
64586,Shake Shack,restaurant,London,51.511586,-0.122813,6,97,"[0, 0, 0, 0, 0, 2, 35, 25, 15, 16, 4, 0]",130.57638888888889
72113,Bone Daddies,restaurant,London,51.512778,-0.133917,6,96,"[11, 6, 11, 4, 3, 6, 9, 7, 5, 7, 12, 15]",12.0
53441,Cocochan,restaurant,London,51.515488,-0.150682,7,94,"[5, 4, 6, 11, 8, 4, 10, 8, 11, 14, 10, 3]",10.972222222222221
70048,Burger & Lobster,restaurant,London,51.513449,-0.132266,6,94,"[4, 6, 6, 5, 4, 6, 15, 13, 15, 16, 3, 1]",26.13888888888889
35545,St James's Park,attraction,London,51.502448,-0.134289,6,94,"[1, 5, 7, 5, 9, 17, 11, 13, 7, 8, 5, 6]",16.472222222222225
36756,Shakespeare's Globe Theatre,attraction,London,51.508114762314,-0.096945762634277,7,92,"[5, 4, 2, 9, 18, 10, 8, 15, 7, 4, 6, 4]",20.88888888888889
70340,Duck & Waffle,restaurant,London,51.516283,-0.080956,8,91,"[3, 7, 7, 9, 11, 5, 7, 11, 7, 15, 3, 6]",11.076388888888891
38254,Primrose Hill,attraction,London,51.539151,-0.161127,8,91,"[6, 6, 8, 6, 13, 7, 5, 14, 8, 5, 8, 5]",8.243055555555557
36213,Lantana Cafe,restaurant,London,51.518946,-0.136052,7,91,"[9, 6, 7, 6, 10, 4, 4, 4, 6, 16, 8, 11]",11.409722222222223
58405,London,attraction,London,51.507246657174,-0.12771606445312,6,91,"[7, 4, 7, 12, 10, 4, 11, 8, 4, 9, 11, 4]",8.576388888888888
35357,Hawksmoor Spitalfields,restaurant,London,51.521374,-0.075838,8,89,"[3, 8, 12, 7, 4, 5, 5, 12, 5, 13, 6, 9]",10.576388888888888
43891,Chipotle Mexican Grill,restaurant,London,51.514591640074,-0.12986183166504,7,89,"[7, 3, 4, 1, 12, 6, 7, 16, 14, 6, 7, 6]",18.07638888888889
37001,Ping Pong Southbank,restaurant,London,51.505237,-0.116549,6,89,"[5, 5, 11, 8, 5, 10, 13, 13, 5, 7, 1, 6]",12.409722222222223
222803,Hillingdon Sports and Leisure Complex,poi,London,51.551466346349,-0.46767438779974,6,88,"[0, 0, 15, 21, 25, 0, 0, 4, 5, 18, 0, 0]",84.22222222222223
55593,Riding House Café,restaurant,London,51.518354,-0.140851,6,88,"[3, 1, 7, 8, 9, 8, 11, 12, 11, 8, 6, 4]",10.388888888888888
37076,Saatchi Gallery,attraction,London,51.490697,-0.158716,7,87,"[7, 4, 6, 10, 2, 8, 8, 12, 10, 11, 4, 5]",9.020833333333334
51220,Barbecoa,restaurant,London,51.513763,-0.096116,6,86,"[7, 4, 8, 11, 16, 4, 4, 6, 8, 6, 7, 5]",10.972222222222221
38126,Regent's Park,attraction,London,51.527489234626,-0.15371203422546,6,85,"[7, 2, 5, 7, 10, 12, 14, 13, 5, 5, 2, 3]",16.40972222222222
52923,Dinner by Heston Blumenthal,restaurant,London,51.502062,-0.159912,7,84,"[6, 4, 14, 6, 9, 5, 13, 6, 3, 6, 4, 8]",11.0
36234,Jamie Oliver's Fifteen,restaurant,London,51.528632,-0.090295,6,84,"[7, 8, 5, 4, 3, 1, 10, 10, 7, 7, 13, 9]",10.333333333333334
67512,MEATmarket,restaurant,London,51.511361,-0.122066,7,83,"[3, 5, 7, 10, 13, 2, 14, 6, 8, 6, 6, 3]",13.243055555555555
35391,Porterhouse,attraction,London,51.510443481818,-0.12363915456877,7,82,"[6, 5, 6, 7, 14, 9, 3, 5, 6, 10, 4, 7]",8.138888888888888
36293,The Hospital Club,attraction,London,51.514751881047,-0.12471199035645,7,82,"[3, 10, 10, 7, 9, 7, 5, 5, 4, 10, 10, 2]",8.138888888888891
66028,La Bodega Negra,restaurant,London,51.513536,-0.129763,6,82,"[7, 1, 5, 12, 12, 4, 5, 15, 7, 5, 8, 1]",17.305555555555557
37923,BFI IMAX,attraction,London,51.504859,-0.11366,6,82,"[6, 7, 5, 6, 11, 4, 6, 15, 3, 3, 8, 8]",10.805555555555557
75504,Balthazar Boulangerie,restaurant,London,51.51242,-0.121518,7,80,"[0, 3, 14, 10, 13, 5, 8, 8, 10, 7, 1, 1]",20.38888888888889
35719,Broadway Market,restaurant,London,51.536665,-0.061755,7,80,"[9, 2, 7, 5, 5, 8, 9, 12, 9, 10, 3, 1]",10.888888888888891
37814,Joe & The Juice,restaurant,London,51.5162,-0.142499,7,80,"[4, 3, 8, 8, 5, 7, 8, 7, 5, 18, 4, 3]",15.055555555555555
